submission_id,industry_name,location,printing_units,laminating_units,total_units,total_input_energy_kwh_day_reported,total_input_energy_mwh_year_reported,transformer_capacity_kva,maximum_demand_kw,screening_transformer_headroom,spare_electrical_capacity,space_available,willing_to_switch
850210461,Chandika Print Pack,"Shreekhandapur, Dhulikhel",2,1,3,306.6666666666667,92.0,350.0,300.0,50.0,Yes,Yes,Yes
850238074,Shree Polythene and Plastic udhyog,"Balaju Industrial State, kathmandu",2,1,3,151.6,43.964,500.0,400.0,100.0,Yes,Yes,Yes
850257306,National Plastic Industry,Balaju Industrial State,1,1,2,40.0,12.0,500.0,250.0,250.0,Yes,Yes,Yes
850264496,Godawari Printng,Balaju Industrial state,1,1,2,1134.0,323.19,200.0,180.0,20.0,No,Yes,Yes
863762618,Sona Packaging,"Padsari, Lumbini",1,1,2,24166.666666666668,7250.0,,,,No,No,No
865109275,Uday Shree Print Pack Pvt Ltd,Hatkhola,1,1,2,1200.0,,250.0,200.0,50.0,Yes,No,No
866599821,Galaxy Packaging,Bara,3,1,4,7777.777777777777,2333.3333333333335,1000.0,860.0,140.0,Yes,Yes,Yes
